# Continuous evolution trace log
global_time,t,x,a
52.577200,0.000000,262.886000,5.000000
52.678310,0.101110,263.391550,5.000000
52.779420,0.202220,263.897100,5.000000
52.880530,0.303330,264.402650,5.000000
52.981640,0.404440,264.908200,5.000000
53.082750,0.505550,265.413750,5.000000
53.183860,0.606660,265.919300,5.000000
53.284970,0.707770,266.424850,5.000000
53.386080,0.808880,266.930400,5.000000
53.487190,0.909990,267.435950,5.000000
53.588300,1.011100,267.941500,5.000000
global_time,t,x,a
53.588300,0.000000,267.941500,5.000000
53.689410,0.101110,268.447050,5.000000
53.790520,0.202220,268.952600,5.000000
53.891630,0.303330,269.458150,5.000000
53.992740,0.404440,269.963700,5.000000
54.093850,0.505550,270.469250,5.000000
54.194960,0.606660,270.974800,5.000000
54.296070,0.707770,271.480350,5.000000
54.397180,0.808880,271.985900,5.000000
54.498290,0.909990,272.491450,5.000000
54.599400,1.011100,272.997000,5.000000
global_time,t,x,a
54.599400,0.000000,272.997000,5.000000
54.700510,0.101110,273.502550,5.000000
54.801620,0.202220,274.008100,5.000000
54.902730,0.303330,274.513650,5.000000
55.003840,0.404440,275.019200,5.000000
55.104950,0.505550,275.524750,5.000000
55.206060,0.606660,276.030300,5.000000
55.307170,0.707770,276.535850,5.000000
55.408280,0.808880,277.041400,5.000000
55.509390,0.909990,277.546950,5.000000
55.610500,1.011100,278.052500,5.000000
global_time,t,x,a
55.610500,0.000000,278.052500,5.000000
55.711610,0.101110,278.558050,5.000000
55.812720,0.202220,279.063600,5.000000
55.913830,0.303330,279.569150,5.000000
56.014940,0.404440,280.074700,5.000000
56.116050,0.505550,280.580250,5.000000
56.217160,0.606660,281.085800,5.000000
56.318270,0.707770,281.591350,5.000000
56.419380,0.808880,282.096900,5.000000
56.520490,0.909990,282.602450,5.000000
56.621600,1.011100,283.108000,5.000000
global_time,t,x,a
56.621600,0.000000,283.108000,5.000000
56.722710,0.101110,283.613550,5.000000
56.823820,0.202220,284.119100,5.000000
56.924930,0.303330,284.624650,5.000000
57.026040,0.404440,285.130200,5.000000
57.127150,0.505550,285.635750,5.000000
57.228260,0.606660,286.141300,5.000000
57.329370,0.707770,286.646850,5.000000
57.430480,0.808880,287.152400,5.000000
57.531590,0.909990,287.657950,5.000000
